ID;Name;Latitude / Longitude;Adresse;Storetype;;;
1307700836;Werkst‰tten;6.823809/51.194771;None None;car_repair;;;
7104649944;Burlington;6.781911/51.225130;Schadowstraﬂe 11;fabric;;;
387419011;Blumen-Krause;6.866046/51.232435;None None;florist;;;
3139597310;≈†koda;6.820083/51.219939;Hˆherweg 119;car;;;
5627458932;None;6.789864/51.222499;None None;hairdresser;;;
1307701894;None;6.824877/51.194600;None None;motorcycle;;;
5630084540;Stromlinie;6.797926/51.236506;Humboldtstraﬂe 109;lamps;;;
387524801;Schnell und Sauber;6.805627/51.213420;Ellerstraﬂe 206;laundry;;;
1310987883;Eurowings Luftverkehrs AG;6.788725/51.287333;None None;travel_agency;;;
1311774379;Crank Toys;6.787925/51.331555;Kirchweg 1;bicycle;;;
7104649945;Jochen Schweizer;6.781726/51.225281;Schadowstraﬂe 11;travel_agency;;;
3139681396;Bentley;6.815218/51.221171;Hˆherweg 95;car;;;
